timestamp_ms,s_rtt_ms,base_rtt_ms,qdelay_ms,qdelay_avg_ms,bitrate_kbps,cwnd_bytes,bytes_in_flight,max_bytes_in_flight,packet_loss
1751555797643,78,69,10,10,901.06714,8891.661,8192,8192,0
1751555797654,0,10000,0,0,500,2000,0,0,0
1751555797667,78,69,10,10,901.06714,8891.661,8192,8192,0
1751555797684,75,69,0,9,1042.0016,9874.947,8192,8192,0
1751555797694,0,10000,0,0,500,2000,0,0,0
1751555797712,75,69,0,9,1042.0016,9874.947,9536,9536,0
1751555797723,79,69,16,11,998.50494,9874.947,9536,9536,0
1751555797735,0,10000,0,0,500,2000,0,0,0
1751555797742,79,69,16,11,998.50494,9874.947,9536,9536,0
1751555797744,79,69,16,11,698.9534,6912.463,8192,9536,1
1751555797746,79,69,16,11,698.9534,6912.463,6848,9536,0
1751555797763,75,69,0,11,856.1831,8108.111,6848,6848,0
1751555797772,0,10000,0,0,500,2000,0,0,0
1751555797794,76,69,8,10,846.5312,8108.111,6848,6848,0
1751555797804,76,69,8,10,846.5312,8108.111,6848,6848,0
1751555797814,0,10000,0,0,500,2000,0,0,0
1751555797862,0,10000,0,0,500,2000,0,0,0
1751555797862,76,69,8,10,902.5928,8645.071,6816,6816,0
1751555797863,76,69,8,10,902.5928,8645.071,6816,6816,0
1751555797882,85,69,8,17,805.47766,8645.071,6816,6816,0
1751555797896,0,10000,0,0,500,2000,0,0,0
1751555797934,0,10000,0,0,500,2000,0,0,0
1751555797934,86,69,24,18,795.66943,8645.071,8192,8192,0
1751555797953,84,69,11,15,968.5342,10219.087,2752,2752,0
1751555797979,0,10000,0,0,500,2000,0,0,0
1751555797980,84,69,11,15,968.5342,10219.087,8192,8192,0
1751555798003,84,69,11,15,968.5342,10219.087,5440,8192,0
1751555798015,0,10000,0,0,500,2000,0,0,0
1751555798015,80,69,0,12,1010.2557,10219.087,9536,9536,0
1751555798054,0,10000,0,0,500,2000,0,0,0
1751555798054,71,69,0,9,1236.122,11026.1045,9536,9536,0
1751555798083,71,69,0,9,1228.4264,11026.1045,6816,9536,0
1751555798092,71,69,0,9,1228.4264,11026.1045,10912,10912,0
1751555798098,0,10000,0,0,500,2000,0,0,0
1751555798121,73,69,0,9,1208.2483,11026.1045,8192,10912,0
1751555798133,0,10000,0,0,500,2000,0,0,0
1751555798150,73,69,0,9,1323.8208,12080.784,2720,2720,0
1751555798163,64,69,0,6,1495.9567,12080.784,6816,6816,0
1751555798174,0,10000,0,0,500,2000,0,0,0
1751555798180,64,69,0,6,1495.9567,12080.784,10912,10912,0
1751555798202,61,69,0,5,1559.3838,12080.784,6816,10912,0
1751555798211,61,69,0,5,1559.3838,12080.784,10912,10912,0
1751555798215,0,10000,0,0,500,2000,0,0,0
1751555798234,62,69,0,4,1718.5774,13480.737,10912,10912,0
1751555798242,62,69,0,4,1718.5774,13480.737,10912,10912,0
1751555798253,0,10000,0,0,500,2000,0,0,0
1751555798257,62,69,0,4,1718.5774,13480.737,12288,12288,0
1751555798278,68,69,0,6,1574.3945,13480.737,12288,12288,0
1751555798282,68,69,0,6,1574.3945,13480.737,12288,12288,0
1751555798302,0,10000,0,0,500,2000,0,0,0
1751555798350,0,10000,0,0,500,2000,0,0,0
1751555798350,76,69,32,11,639.7561,6097.976,8192,8192,1
1751555798356,76,69,32,11,639.7561,6097.976,8192,8192,0
1751555798358,76,69,32,11,500,4268.583,6816,8192,1
1751555798364,76,69,32,11,500,4268.583,6816,8192,0
1751555798388,0,10000,0,0,500,2000,0,0,0
1751555798408,76,69,32,11,500,2000,2720,8192,1
1751555798413,0,10000,0,0,500,2000,0,0,0
1751555798424,76,69,32,11,500,2000,2752,8192,0
1751555798474,0,10000,0,0,500,2000,0,0,0
1751555798475,77,69,12,11,500,3371.725,2752,2752,0
1751555798483,77,69,12,11,500,3371.725,2752,2752,0
1751555798494,0,10000,0,0,500,2000,0,0,0
1751555798528,77,69,12,11,500,3371.725,2752,2752,0
