timestamp_ms,s_rtt_ms,base_rtt_ms,qdelay_ms,qdelay_avg_ms,bitrate_kbps,cwnd_bytes,bytes_in_flight,max_bytes_in_flight,packet_loss
1751296570872,0,10000,0,0,500,2000,0,0,0
1751296570872,0,10000,0,0,500,2000,0,0,0
1751296570913,0,10000,0,0,500,2000,0,0,0
1751296570953,0,10000,0,0,500,2000,0,0,0
1751296570993,0,10000,0,0,500,2000,0,0,0
1751296571032,0,10000,0,0,500,2000,0,0,0
1751296571073,0,10000,0,0,500,2000,0,0,0
1751296571101,0,10000,0,0,500,2000,0,0,0
1751296571103,0,10000,0,0,500,2000,0,0,0
1751296571113,0,10000,0,0,500,2000,0,0,0
1751296571153,0,10000,0,0,500,2000,0,0,0
1751296571202,0,10000,0,0,500,2000,0,0,0
1751296571233,0,10000,0,0,500,2000,0,0,0
1751296571272,0,10000,0,0,500,2000,0,0,0
1751296571313,0,10000,0,0,500,2000,0,0,0
1751296571352,0,10000,0,0,500,2000,0,0,0
1751296571393,0,10000,0,0,500,2000,0,0,0
1751296571433,0,10000,0,0,500,2000,0,0,0
1751296571473,0,10000,0,0,500,2000,0,0,0
1751296571503,0,10000,0,0,500,2000,0,0,0
1751296571504,0,10000,0,0,500,2000,0,0,0
1751296571515,0,10000,0,0,500,2000,0,0,0
1751296571516,0,10000,0,0,500,2000,0,0,0
1751296571556,0,10000,0,0,500,2000,0,0,0
1751296571556,0,10000,0,0,500,2000,0,0,0
1751296571593,0,10000,0,0,500,2000,0,0,0
1751296571597,0,10000,0,0,500,2000,0,0,0
1751296571636,0,10000,0,0,500,2000,0,0,0
1751296571636,0,10000,0,0,500,2000,0,0,0
1751296571682,0,10000,0,0,500,2000,0,0,0
1751296571682,0,10000,0,0,500,2000,0,0,0
1751296571718,0,10000,0,0,500,2000,0,0,0
1751296571719,0,10000,0,0,500,2000,0,0,0
1751296571752,0,10000,0,0,500,2000,0,0,0
1751296571756,0,10000,0,0,500,2000,0,0,0
1751296571796,0,10000,0,0,500,2000,0,0,0
1751296571797,0,10000,0,0,500,2000,0,0,0
1751296571832,0,10000,0,0,500,2000,0,0,0
1751296571846,0,10000,0,0,500,2000,0,0,0
1751296571873,0,10000,0,0,500,2000,0,0,0
1751296571878,0,10000,0,0,500,2000,0,0,0
1751296571912,0,10000,0,0,500,2000,0,0,0
1751296571917,0,10000,0,0,500,2000,0,0,0
1751296571952,0,10000,0,0,500,2000,0,0,0
1751296571960,0,10000,0,0,500,2000,0,0,0
1751296571993,0,10000,0,0,500,2000,0,0,0
1751296572000,0,10000,0,0,500,2000,0,0,0
1751296572033,0,10000,0,0,500,2000,0,0,0
1751296572037,0,10000,0,0,500,2000,0,0,0
1751296572074,0,10000,0,0,500,2000,0,0,0
1751296572076,0,10000,0,0,500,2000,0,0,0
1751296572113,0,10000,0,0,500,2000,0,0,0
1751296572118,0,10000,0,0,500,2000,0,0,0
1751296572163,0,10000,0,0,500,2000,0,0,0
1751296572163,0,10000,0,0,500,2000,0,0,0
1751296572193,0,10000,0,0,500,2000,0,0,0
1751296572197,0,10000,0,0,500,2000,0,0,0
1751296572232,0,10000,0,0,500,2000,0,0,0
1751296572238,0,10000,0,0,500,2000,0,0,0
1751296572275,0,10000,0,0,500,2000,0,0,0
1751296572276,0,10000,0,0,500,2000,0,0,0
1751296572308,0,10000,0,0,500,2000,0,0,0
1751296572309,0,10000,0,0,500,2000,0,0,0
1751296572314,0,10000,0,0,500,2000,0,0,0
1751296572322,0,10000,0,0,500,2000,0,0,0
1751296572364,0,10000,0,0,500,2000,0,0,0
1751296572364,0,10000,0,0,500,2000,0,0,0
1751296572396,0,10000,0,0,500,2000,0,0,0
1751296572396,0,10000,0,0,500,2000,0,0,0
1751296572432,0,10000,0,0,500,2000,0,0,0
1751296572439,0,10000,0,0,500,2000,0,0,0
1751296572475,0,10000,0,0,500,2000,0,0,0
1751296572478,0,10000,0,0,500,2000,0,0,0
1751296572512,0,10000,0,0,500,2000,0,0,0
1751296572517,0,10000,0,0,500,2000,0,0,0
1751296572553,0,10000,0,0,500,2000,0,0,0
1751296572557,0,10000,0,0,500,2000,0,0,0
1751296572593,0,10000,0,0,500,2000,0,0,0
1751296572597,0,10000,0,0,500,2000,0,0,0
1751296572632,0,10000,0,0,500,2000,0,0,0
1751296572637,0,10000,0,0,500,2000,0,0,0
1751296572674,0,10000,0,0,500,2000,0,0,0
1751296572677,0,10000,0,0,500,2000,0,0,0
1751296572713,0,10000,0,0,500,2000,0,0,0
1751296572716,0,10000,0,0,500,2000,0,0,0
1751296572752,0,10000,0,0,500,2000,0,0,0
1751296572757,0,10000,0,0,500,2000,0,0,0
1751296572792,0,10000,0,0,500,2000,0,0,0
1751296572796,0,10000,0,0,500,2000,0,0,0
1751296572833,0,10000,0,0,500,2000,0,0,0
1751296572837,0,10000,0,0,500,2000,0,0,0
1751296572873,0,10000,0,0,500,2000,0,0,0
1751296572876,0,10000,0,0,500,2000,0,0,0
1751296572913,0,10000,0,0,500,2000,0,0,0
1751296572918,0,10000,0,0,500,2000,0,0,0
1751296572953,0,10000,0,0,500,2000,0,0,0
1751296572956,0,10000,0,0,500,2000,0,0,0
1751296572994,0,10000,0,0,500,2000,0,0,0
1751296572996,0,10000,0,0,500,2000,0,0,0
1751296573032,0,10000,0,0,500,2000,0,0,0
1751296573037,0,10000,0,0,500,2000,0,0,0
1751296573080,0,10000,0,0,500,2000,0,0,0
1751296573080,0,10000,0,0,500,2000,0,0,0
1751296573131,0,10000,0,0,500,2000,0,0,0
1751296573131,0,10000,0,0,500,2000,0,0,0
1751296573174,0,10000,0,0,500,2000,0,0,0
1751296573174,0,10000,0,0,500,2000,0,0,0
1751296573196,0,10000,0,0,500,2000,0,0,0
1751296573196,0,10000,0,0,500,2000,0,0,0
